ID,AvgAct,AvgSch,AvgStartTime,AvgDifference
1,33.42857143,29.57142857,212,3.86
2,56.6,58.2,244,1.6
3,38.625,41.25,303,2.88
4,29.125,25,344,5.13
5,17.875,20,369,3.63
6,22.25,20,389,6.75
7,16.375,20,409,5.13
8,20.25,21,429,2
9,19.875,20.875,450,2.25
10,21.875,20,471,2.38
11,18.75,20.375,491,2.38
12,25,20.75,512,4.5
13,20.625,20,532,2.63
14,18.625,20,552,1.38
15,33.71428571,20,571,13.71
16,10,20,591,10
17,15.875,21.375,612,5.5
18,27,21.375,634,6.63
19,14.875,20,655,5.13
20,22.125,20,675,2.13
21,16.375,20,695,3.63
22,23.125,20,715,3.13
23,20.625,20,735,1.38
24,16.875,20,755,3.13
25,20.375,20,775,2.38
26,25.5,20,795,6
27,20.25,20,815,2.5
28,14.75,20,835,5.25
29,19.75,20,855,1.25
30,22.25,19.625,875,2.63
31,26.5,19.375,895,7.13
32,9.375,20,914,10.63
33,25.75,20,934,5.75
34,20.25,20,954,0.75
35,21.75,20,974,1.75
36,11.25,20,994,8.75
37,25.625,20,1014,5.63
38,15.25,20,1034,4.75
39,25.625,19.375,1054,6.25
40,14.25,17.625,1074,3.38
41,22.125,20,1091,2.13
42,12.875,20,1111,7.13
43,24.42857143,20,1130,4.43
44,19,20,1150,1.57
45,21.5,20,1171,3.5
46,23.71428571,20,1190,3.71
47,20,20,1210,0.86
48,13.375,20,1231,6.63
49,24.125,20,1251,4.13
50,21.625,20,1271,1.88
51,14.5,20,1291,5.5
52,17.5,18.125,1311,1.88
53,27.875,20,1329,7.88
54,13.25,20,1349,6.75
55,19.5,20,1369,0.5
56,22.875,20,1389,2.88
57,15.875,20,1409,4.13
58,20.25,20,1429,1.25
59,30.5,30,1449,2
