HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
1,3/1/2014,325,22,Outbound,4231768,4231837,Ruggles Station - Lane 1,15,14,1,1,17.33333333,14,332,1,3.33
1,3/1/2014,327,22,Outbound,4231768,4231837,Tremont St @ Roxbury Crossing Station,17,14,3,2,9.777777778,14.22222222,346,3,4.44
1,3/1/2014,328,22,Outbound,4231768,4231837,Jackson Sq Station @ Orange Line,17,14,3,3,18.77777778,15.33333333,360,3,3.44
1,3/1/2014,329,22,Outbound,4231768,4231837,Columbus Ave @ Washington St,18,14,4,4,10.55555556,14,375,4,3.44
1,3/1/2014,331,22,Outbound,4231768,4231837,Seaver St opp Humboldt Ave,18,14,4,5,18.55555556,14,389,4,4.56
1,3/1/2014,332,22,Outbound,4231768,4231837,Seaver St opp Maple St,18,14,4,6,18.66666667,14,403,4,4.67
1,3/1/2014,335,22,Outbound,4231768,4231837,Blue Hill Ave @ Angell St,18,14,4,7,7.222222222,14,417,4,6.78
1,3/1/2014,338,22,Outbound,4231768,4231837,Talbot Ave @ Lithgow St,18,14,4,8,12.44444444,14.22222222,431,4,1.78
1,3/1/2014,340,22,Outbound,4231768,4231837,Ashmont Station,17,14,3,9,17.55555556,17.44444444,445,3,1.22
2,3/1/2014,339,22,Outbound,4231837,4231863,Ruggles Station - Lane 1,5,14,-9,10,20.66666667,16,463,9,4.67
2,3/1/2014,341,22,Outbound,4231837,4231863,Tremont St @ Roxbury Crossing Station,11,14,-3,11,13.22222222,16,479,3,2.78
2,3/1/2014,342,22,Outbound,4231837,4231863,Jackson Sq Station @ Orange Line,11,14,-3,12,15,16,495,3,1.00
2,3/1/2014,343,22,Outbound,4231837,4231863,Columbus Ave @ Washington St,11,14,-3,13,17.55555556,16,511,3,2.22
2,3/1/2014,345,22,Outbound,4231837,4231863,Seaver St opp Humboldt Ave,11,14,-3,14,17.44444444,16,527,3,1.44
2,3/1/2014,346,22,Outbound,4231837,4231863,Seaver St opp Maple St,11,14,-3,15,16.44444444,16,543,3,0.89
2,3/1/2014,349,22,Outbound,4231837,4231863,Blue Hill Ave @ Angell St,10,14,-4,16,32,33.88888889,559,4,1.89
2,3/1/2014,352,22,Outbound,4231837,4231863,Talbot Ave @ Lithgow St,8,15,-7,17,-11,-17,607,7,6.00
2,3/1/2014,354,22,Outbound,4231837,4231863,Ashmont Station,10,15,-5,18,34,33,590,5,1.00
3,3/1/2014,353,22,Outbound,4231863,4231909,Ruggles Station - Lane 1,22,14,8,19,9.888888889,16,609,8,6.11
3,3/1/2014,355,22,Outbound,4231863,4231909,Tremont St @ Roxbury Crossing Station,16,14,2,20,15.77777778,16,625,2,1.11
3,3/1/2014,356,22,Outbound,4231863,4231909,Jackson Sq Station @ Orange Line,16,14,2,21,10.55555556,16,641,2,5.44
3,3/1/2014,357,22,Outbound,4231863,4231909,Columbus Ave @ Washington St,17,16,1,22,19.33333333,16,657,1,3.33
3,3/1/2014,359,22,Outbound,4231863,4231909,Seaver St opp Humboldt Ave,18,16,2,23,16.44444444,14.11111111,673,2,2.33
3,3/1/2014,360,22,Outbound,4231863,4231909,Seaver St opp Maple St,18,16,2,24,19.11111111,15.44444444,687,2,3.67
3,3/1/2014,363,22,Outbound,4231863,4231909,Blue Hill Ave @ Angell St,19,16,3,25,0.888888889,12,702,3,11.11
3,3/1/2014,367,22,Outbound,4231863,4231909,Talbot Ave @ Lithgow St,22,16,6,26,13.22222222,11,714,6,2.44
3,3/1/2014,369,22,Outbound,4231863,4231909,Ashmont Station,21,16,5,27,7.333333333,11,725,5,3.67
4,3/1/2014,367,22,Outbound,4231909,4231770,Ruggles Station - Lane 1,4,14,-10,28,12.77777778,11,736,10,2.44
4,3/1/2014,369,22,Outbound,4231909,4231770,Tremont St @ Roxbury Crossing Station,12,14,-2,29,23.22222222,11,747,2,12.22
4,3/1/2014,370,22,Outbound,4231909,4231770,Jackson Sq Station @ Orange Line,13,14,-1,30,0,12,758,1,12.00
4,3/1/2014,373,22,Outbound,4231909,4231770,Columbus Ave @ Washington St,12,14,-2,31,14.88888889,12,770,2,2.89
4,3/1/2014,375,22,Outbound,4231909,4231770,Seaver St opp Humboldt Ave,12,14,-2,32,20.44444444,12,782,2,8.44
4,3/1/2014,376,22,Outbound,4231909,4231770,Seaver St opp Maple St,11,14,-3,33,2.666666667,12,794,3,9.33
4,3/1/2014,379,22,Outbound,4231909,4231770,Blue Hill Ave @ Angell St,11,14,-3,34,11.44444444,12,806,3,1.22
4,3/1/2014,383,22,Outbound,4231909,4231770,Talbot Ave @ Lithgow St,10,14,-4,35,7.444444444,12,818,4,4.56
4,3/1/2014,385,22,Outbound,4231909,4231770,Ashmont Station,10,14,-4,36,16.55555556,12,830,4,4.56
5,3/1/2014,381,22,Outbound,4231770,4231839,Ruggles Station - Lane 1,22,14,8,37,12,12,842,8,0.67
5,3/1/2014,383,22,Outbound,4231770,4231839,Tremont St @ Roxbury Crossing Station,16,14,2,38,9.111111111,12,854,2,2.89
5,3/1/2014,384,22,Outbound,4231770,4231839,Jackson Sq Station @ Orange Line,15,14,1,39,20.22222222,12,866,1,8.22
5,3/1/2014,387,22,Outbound,4231770,4231839,Columbus Ave @ Washington St,17,14,3,40,9.111111111,12,878,3,2.89
5,3/1/2014,389,22,Outbound,4231770,4231839,Seaver St opp Humboldt Ave,17,14,3,41,7.333333333,12,890,3,4.67
5,3/1/2014,390,22,Outbound,4231770,4231839,Seaver St opp Maple St,18,14,4,42,20.44444444,12,902,4,8.44
5,3/1/2014,393,22,Outbound,4231770,4231839,Blue Hill Ave @ Angell St,19,14,5,43,3.333333333,12,914,5,8.67
5,3/1/2014,397,22,Outbound,4231770,4231839,Talbot Ave @ Lithgow St,21,14,7,44,17.11111111,12,926,7,5.11
5,3/1/2014,399,22,Outbound,4231770,4231839,Ashmont Station,22,14,8,45,7.666666667,12,938,8,4.33
6,3/1/2014,395,22,Outbound,4231839,4231865,Ruggles Station - Lane 1,22,14,8,46,12.11111111,12,950,8,1.00
6,3/1/2014,397,22,Outbound,4231839,4231865,Tremont St @ Roxbury Crossing Station,19,14,5,47,14.22222222,12,962,5,2.89
6,3/1/2014,398,22,Outbound,4231839,4231865,Jackson Sq Station @ Orange Line,20,14,6,48,10,12,974,6,2.22
6,3/1/2014,401,22,Outbound,4231839,4231865,Columbus Ave @ Washington St,19,14,5,49,12.55555556,12,986,5,1.00
6,3/1/2014,403,22,Outbound,4231839,4231865,Seaver St opp Humboldt Ave,18,14,4,50,11.66666667,12,998,4,0.78
6,3/1/2014,404,22,Outbound,4231839,4231865,Seaver St opp Maple St,19,14,5,51,9.777777778,12,1010,5,2.22
6,3/1/2014,407,22,Outbound,4231839,4231865,Blue Hill Ave @ Angell St,18,14,4,52,10.66666667,12,1022,4,2.89
6,3/1/2014,411,22,Outbound,4231839,4231865,Talbot Ave @ Lithgow St,17,14,3,53,19.11111111,12,1034,3,7.11
6,3/1/2014,413,22,Outbound,4231839,4231865,Ashmont Station,16,14,2,54,6.777777778,12,1046,2,5.22
7,3/1/2014,409,22,Outbound,4231865,4231911,Ruggles Station - Lane 1,8,14,-6,55,18,15,1060,6,3.00
7,3/1/2014,411,22,Outbound,4231865,4231911,Tremont St @ Roxbury Crossing Station,8,14,-6,56,8.5,15,1075,6,6.50
7,3/1/2014,412,22,Outbound,4231865,4231911,Jackson Sq Station @ Orange Line,8,14,-6,57,18.44444444,15,1088,6,3.44
7,3/1/2014,415,22,Outbound,4231865,4231911,Columbus Ave @ Washington St,7,14,-7,58,19.88888889,15,1103,7,4.89
7,3/1/2014,417,22,Outbound,4231865,4231911,Seaver St opp Humboldt Ave,8,14,-6,59,10.77777778,14.66666667,1118,6,3.89
7,3/1/2014,418,22,Outbound,4231865,4231911,Seaver St opp Maple St,7,14,-7,60,20.11111111,15.11111111,1133,7,5.00
7,3/1/2014,421,22,Outbound,4231865,4231911,Blue Hill Ave @ Angell St,7,14,-7,61,9.222222222,14.22222222,1148,7,5.00
7,3/1/2014,425,22,Outbound,4231865,4231911,Talbot Ave @ Lithgow St,6,14,-8,62,20.77777778,15,1162,8,5.78
7,3/1/2014,427,22,Outbound,4231865,4231911,Ashmont Station,6,14,-8,63,8.75,15,1176,8,6.25
8,3/1/2014,423,22,Outbound,4231911,4231772,Ruggles Station - Lane 1,11,14,-3,64,28.25,14,1191,3,14.25
8,3/1/2014,425,22,Outbound,4231911,4231772,Tremont St @ Roxbury Crossing Station,13,14,-1,65,5.333333333,20,1206,1,14.67
8,3/1/2014,426,22,Outbound,4231911,4231772,Jackson Sq Station @ Orange Line,12,14,-2,66,20.88888889,20,1226,2,2.00
8,3/1/2014,429,22,Outbound,4231911,4231772,Columbus Ave @ Washington St,12,14,-2,67,28.5,20,1251,2,8.50
8,3/1/2014,431,22,Outbound,4231911,4231772,Seaver St opp Humboldt Ave,12,14,-2,68,11.33333333,20,1271,2,8.67
8,3/1/2014,432,22,Outbound,4231911,4231772,Seaver St opp Maple St,12,14,-2,69,14.88888889,20,1286,2,5.11
8,3/1/2014,435,22,Outbound,4231911,4231772,Blue Hill Ave @ Angell St,13,14,-1,70,35,20,1306,1,15.00
8,3/1/2014,439,22,Outbound,4231911,4231772,Talbot Ave @ Lithgow St,13,15,-2,71,7.222222222,20,1326,2,12.78
8,3/1/2014,441,22,Outbound,4231911,4231772,Ashmont Station,14,15,-1,72,28.88888889,20,1346,1,8.89
9,3/1/2014,437,22,Outbound,4231772,4231841,Ruggles Station - Lane 1,16,16,0,73,13.77777778,18.88888889,1366,0,5.11
9,3/1/2014,439,22,Outbound,4231772,4231841,Tremont St @ Roxbury Crossing Station,17,16,1,74,23.55555556,20,1385,1,3.56
9,3/1/2014,440,22,Outbound,4231772,4231841,Jackson Sq Station @ Orange Line,18,17,1,75,13,20,1405,1,7.00
9,3/1/2014,443,22,Outbound,4231772,4231841,Columbus Ave @ Washington St,19,17,2,76,22.66666667,24.22222222,1425,2,1.56
9,3/1/2014,445,22,Outbound,4231772,4231841,Seaver St opp Humboldt Ave,18,17,1,77,33.33333333,30,1449,1,3.33
