HeadwayId,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
1,3/1/2014,295,23,Inbound,4233189,4232975,Ashmont Station,10,15,-5,1,15.2,15,303,5,1.80
1,3/1/2014,297,23,Inbound,4233189,4232975,Talbot Ave @ Centre St,15,15,0,2,11.6,15,318,0,3.40
1,3/1/2014,299,23,Inbound,4233189,4232975,Washington St @ Bowdoin St,17,15,2,3,19.4,15,333,2,4.40
1,3/1/2014,301,23,Inbound,4233189,4232975,Washington St @ Columbia Rd,16,15,1,4,12.1,16.7,348,1,4.60
1,3/1/2014,302,23,Inbound,4233189,4232975,Warren St @ Sunderland St,16,15,1,5,19.8,15.8,365,1,4.00
1,3/1/2014,304,23,Inbound,4233189,4232975,Warren St @ Quincy St,17,15,2,6,9.2,15,381,2,5.80
1,3/1/2014,306,23,Inbound,4233189,4232975,Warren St @ Moreland St,17,15,2,7,23.3,15,396,2,8.30
1,3/1/2014,308,23,Inbound,4233189,4232975,Dudley Station,17,15,2,8,10.4,15,411,2,4.80
1,3/1/2014,310,23,Inbound,4233189,4232975,Malcolm X Blvd @ Tremont St,13,15,-2,9,17,14.9,426,2,2.30
1,3/1/2014,312,23,Inbound,4233189,4232975,Ruggles Sta - Upper Level,14,15,-1,10,11.5,17.1,441,1,5.60
2,3/1/2014,310,23,Inbound,4232975,4232982,Ashmont Station,14,15,-1,11,20.3,15.8,458,1,4.50
2,3/1/2014,312,23,Inbound,4232975,4232982,Talbot Ave @ Centre St,13,15,-2,12,11.9,15,474,2,3.10
2,3/1/2014,314,23,Inbound,4232975,4232982,Washington St @ Bowdoin St,11,15,-4,13,17,15,489,4,2.40
2,3/1/2014,316,23,Inbound,4232975,4232982,Washington St @ Columbia Rd,12,15,-3,14,11.4,15,504,3,3.60
2,3/1/2014,317,23,Inbound,4232975,4232982,Warren St @ Sunderland St,12,15,-3,15,27.7,15,519,3,12.70
2,3/1/2014,319,23,Inbound,4232975,4232982,Warren St @ Quincy St,11,15,-4,16,12.4,14,534,4,1.60
2,3/1/2014,321,23,Inbound,4232975,4232982,Warren St @ Moreland St,10,15,-5,17,7.6,14.1,548,5,6.50
2,3/1/2014,323,23,Inbound,4232975,4232982,Dudley Station,11,15,-4,18,22.4,15.6,562,4,6.80
2,3/1/2014,325,23,Inbound,4232975,4232982,Malcolm X Blvd @ Tremont St,12,15,-3,19,3.4,14,577,3,10.60
2,3/1/2014,327,23,Inbound,4232975,4232982,Ruggles Sta - Upper Level,10,15,-5,20,32.8,14,591,5,18.80
3,3/1/2014,325,23,Inbound,4232982,4233018,Ashmont Station,16,15,1,21,-2.6,10,605,1,12.60
3,3/1/2014,327,23,Inbound,4232982,4233018,Talbot Ave @ Centre St,18,15,3,22,19.1,10,615,3,9.10
3,3/1/2014,329,23,Inbound,4232982,4233018,Washington St @ Bowdoin St,19,15,4,23,-0.3,10,625,4,10.30
3,3/1/2014,331,23,Inbound,4232982,4233018,Washington St @ Columbia Rd,20,15,5,24,9.6,10,635,5,1.80
3,3/1/2014,332,23,Inbound,4232982,4233018,Warren St @ Sunderland St,20,15,5,25,13.9,10.3,645,5,3.60
3,3/1/2014,334,23,Inbound,4232982,4233018,Warren St @ Quincy St,20,15,5,26,13.3,9.4,656,5,3.90
3,3/1/2014,336,23,Inbound,4232982,4233018,Warren St @ Moreland St,20,15,5,27,16,10.7,665,5,5.30
3,3/1/2014,338,23,Inbound,4232982,4233018,Dudley Station,19,15,4,28,18.8,10,676,4,8.80
3,3/1/2014,340,23,Inbound,4232982,4233018,Malcolm X Blvd @ Tremont St,20,15,5,29,-9.3,10,686,5,19.30
3,3/1/2014,342,23,Inbound,4232982,4233018,Ruggles Sta - Upper Level,22,15,7,30,5.4,10,696,7,4.60
4,3/1/2014,340,23,Inbound,4233018,4233191,Ashmont Station,8,15,-7,31,24.3,10,706,7,14.30
4,3/1/2014,342,23,Inbound,4233018,4233191,Talbot Ave @ Centre St,14,15,-1,32,3.3,10,716,1,6.70
4,3/1/2014,344,23,Inbound,4233018,4233191,Washington St @ Bowdoin St,14,15,-1,33,3.7,10,726,1,6.30
4,3/1/2014,346,23,Inbound,4233018,4233191,Washington St @ Columbia Rd,12,15,-3,34,17.3,10,736,3,7.30
4,3/1/2014,347,23,Inbound,4233018,4233191,Warren St @ Sunderland St,12,17,-5,35,20,10,746,5,10.00
4,3/1/2014,349,23,Inbound,4233018,4233191,Warren St @ Quincy St,12,17,-5,36,-0.7,10,756,5,10.70
4,3/1/2014,351,23,Inbound,4233018,4233191,Warren St @ Moreland St,12,18,-6,37,15.66666667,10,764,6,5.89
4,3/1/2014,353,23,Inbound,4233018,4233191,Dudley Station,12,18,-6,38,0.111111111,10,774,6,9.89
4,3/1/2014,355,23,Inbound,4233018,4233191,Malcolm X Blvd @ Tremont St,13,18,-5,39,19.6,10,786,5,9.60
4,3/1/2014,357,23,Inbound,4233018,4233191,Ruggles Sta - Upper Level,12,19,-7,40,0.4,10,796,7,9.60
5,3/1/2014,355,23,Inbound,4233191,4232977,Ashmont Station,20,15,5,41,17.3,10,806,5,7.30
5,3/1/2014,357,23,Inbound,4233191,4232977,Talbot Ave @ Centre St,16,15,1,42,3.1,10,816,1,6.90
5,3/1/2014,359,23,Inbound,4233191,4232977,Washington St @ Bowdoin St,16,16,0,43,28.1,10,826,0,18.10
5,3/1/2014,361,23,Inbound,4233191,4232977,Washington St @ Columbia Rd,19,16,3,44,-1.3,10,836,3,11.30
5,3/1/2014,364,23,Inbound,4233191,4232977,Warren St @ Sunderland St,21,16,5,45,6.7,10,846,5,3.30
5,3/1/2014,366,23,Inbound,4233191,4232977,Warren St @ Quincy St,21,16,5,46,2.8,10,856,5,7.20
5,3/1/2014,369,23,Inbound,4233191,4232977,Warren St @ Moreland St,22,16,6,47,23,10,866,6,13.00
5,3/1/2014,371,23,Inbound,4233191,4232977,Dudley Station,22,16,6,48,5.6,10,876,6,4.40
5,3/1/2014,373,23,Inbound,4233191,4232977,Malcolm X Blvd @ Tremont St,20,16,4,49,12.6,10,886,4,3.20
5,3/1/2014,376,23,Inbound,4233191,4232977,Ruggles Sta - Upper Level,21,16,5,50,0.2,12,896,5,11.80
6,3/1/2014,370,23,Inbound,4232977,4232984,Ashmont Station,10,15,-5,51,30.1,12,908,5,18.10
6,3/1/2014,372,23,Inbound,4232977,4232984,Talbot Ave @ Centre St,12,15,-3,52,-2.111111111,12,918,3,14.11
6,3/1/2014,375,23,Inbound,4232977,4232984,Washington St @ Bowdoin St,11,15,-4,53,12,12,930,4,0.89
6,3/1/2014,377,23,Inbound,4232977,4232984,Washington St @ Columbia Rd,9,15,-6,54,19.6,12,944,6,9.40
6,3/1/2014,380,23,Inbound,4232977,4232984,Warren St @ Sunderland St,8,15,-7,55,16.3,12,956,7,4.90
6,3/1/2014,382,23,Inbound,4232977,4232984,Warren St @ Quincy St,8,15,-7,56,0.3,12,968,7,11.70
6,3/1/2014,385,23,Inbound,4232977,4232984,Warren St @ Moreland St,8,15,-7,57,11.6,12,980,7,0.80
6,3/1/2014,387,23,Inbound,4232977,4232984,Dudley Station,8,15,-7,58,10.2,12,992,7,2.20
6,3/1/2014,389,23,Inbound,4232977,4232984,Malcolm X Blvd @ Tremont St,9,15,-6,59,9.3,12,1004,6,3.50
6,3/1/2014,392,23,Inbound,4232977,4232984,Ruggles Sta - Upper Level,9,15,-6,60,13.8,12,1016,6,1.80
7,3/1/2014,385,23,Inbound,4232984,4233020,Ashmont Station,24,15,9,61,25.7,12,1028,9,13.70
7,3/1/2014,387,23,Inbound,4232984,4233020,Talbot Ave @ Centre St,17,15,2,62,0.8,12,1040,2,11.20
7,3/1/2014,390,23,Inbound,4232984,4233020,Washington St @ Bowdoin St,20,15,5,63,18.2,12,1052,5,6.20
7,3/1/2014,392,23,Inbound,4232984,4233020,Washington St @ Columbia Rd,23,15,8,64,3.8,11.6,1064,8,7.80
