HeadwayId,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference,ID,AvgAct,AvgSch,AvgStartTime,AbsDifference,AvgDifference
1,3/1/2014,305,57,Inbound,4236158,4236285,Watertown Yard,9,15,-6,1,11.75,15,313,6,3.25
1,3/1/2014,306,57,Inbound,4236158,4236285,Washington St @ Bacon St,14,15,-1,2,15.875,15,328,1,0.88
1,3/1/2014,309,57,Inbound,4236158,4236285,Tremont St @ Washington St,14,15,-1,3,17,15.5,343,1,1.50
1,3/1/2014,311,57,Inbound,4236158,4236285,Washington St @ Chestnut Hill Ave,13,15,-2,4,17.25,14.625,358,2,2.63
1,3/1/2014,313,57,Inbound,4236158,4236285,Brighton Ave @ Cambridge St,12,15,-3,5,13.75,12,373,3,2.00
1,3/1/2014,316,57,Inbound,4236158,4236285,Brighton Ave @ Comm Ave,12,15,-3,6,5.5,10,385,3,4.50
1,3/1/2014,319,57,Inbound,4236158,4236285,Commonwealth Ave @ Carlton St,10,15,-5,7,14,10,395,5,4.00
1,3/1/2014,322,57,Inbound,4236158,4236285,Kenmore Station Busway,10,15,-5,8,6.25,10,405,5,3.75
2,3/1/2014,320,57,Inbound,4236285,4236331,Watertown Yard,15,15,0,9,14.75,10,415,0,4.75
2,3/1/2014,321,57,Inbound,4236285,4236331,Washington St @ Bacon St,16,15,1,10,10.875,10,425,1,0.88
2,3/1/2014,324,57,Inbound,4236285,4236331,Tremont St @ Washington St,16,15,1,11,4.875,10,435,1,5.13
2,3/1/2014,326,57,Inbound,4236285,4236331,Washington St @ Chestnut Hill Ave,15,15,0,12,12.875,10,445,0,2.88
2,3/1/2014,328,57,Inbound,4236285,4236331,Brighton Ave @ Cambridge St,15,15,0,13,12.625,10,455,0,2.63
2,3/1/2014,331,57,Inbound,4236285,4236331,Brighton Ave @ Comm Ave,15,15,0,14,5.25,10.5,465,0,6.25
2,3/1/2014,334,57,Inbound,4236285,4236331,Commonwealth Ave @ Carlton St,17,15,2,15,11.625,11.25,475,2,0.88
2,3/1/2014,337,57,Inbound,4236285,4236331,Kenmore Station Busway,18,15,3,16,10,10,487,3,0.75
3,3/1/2014,335,57,Inbound,4236331,4236034,Watertown Yard,15,15,0,17,8.375,10,497,0,1.63
3,3/1/2014,336,57,Inbound,4236331,4236034,Washington St @ Bacon St,16,15,1,18,9.75,10,507,1,2.00
3,3/1/2014,339,57,Inbound,4236331,4236034,Tremont St @ Washington St,16,15,1,19,20.5,10,517,1,10.50
3,3/1/2014,341,57,Inbound,4236331,4236034,Washington St @ Chestnut Hill Ave,17,15,2,20,1.857142857,10,528,2,8.14
3,3/1/2014,343,57,Inbound,4236331,4236034,Brighton Ave @ Cambridge St,19,15,4,21,14.71428571,10,538,4,5.00
3,3/1/2014,346,57,Inbound,4236331,4236034,Brighton Ave @ Comm Ave,18,16,2,22,6.875,10,547,2,3.63
3,3/1/2014,349,57,Inbound,4236331,4236034,Commonwealth Ave @ Carlton St,17,17,0,23,12.875,10.375,557,0,2.50
3,3/1/2014,352,57,Inbound,4236331,4236034,Kenmore Station Busway,18,16,2,24,8.5,10.5,567,2,3.00
4,3/1/2014,350,57,Inbound,4236034,4236160,Watertown Yard,21,13,8,25,18.28571429,10.85714286,579,8,8.00
4,3/1/2014,351,57,Inbound,4236034,4236160,Washington St @ Bacon St,13,13,0,26,19.42857143,22,590,0,3.43
4,3/1/2014,354,57,Inbound,4236034,4236160,Tremont St @ Washington St,14,13,1,27,-15.75,-11,619,1,4.75
4,3/1/2014,356,57,Inbound,4236034,4236160,Washington St @ Chestnut Hill Ave,16,14,2,28,17.5,22,608,2,4.50
4,3/1/2014,358,57,Inbound,4236034,4236160,Brighton Ave @ Cambridge St,17,16,1,29,12.875,11,621,1,3.88
4,3/1/2014,362,57,Inbound,4236034,4236160,Brighton Ave @ Comm Ave,19,16,3,30,7.25,10,632,3,3.50
4,3/1/2014,366,57,Inbound,4236034,4236160,Commonwealth Ave @ Carlton St,19,16,3,31,14.125,10.25,642,3,3.88
4,3/1/2014,368,57,Inbound,4236034,4236160,Kenmore Station Busway,19,16,3,32,9.25,10.75,652,3,1.75
5,3/1/2014,363,57,Inbound,4236160,4236287,Watertown Yard,26,12,14,33,10.75,12.125,663,14,2.88
