		date	close
111	Inbound	7/1/2012	26
111	Inbound	7/2/2012	26
111	Inbound	7/3/2012	27
111	Inbound	7/4/2012	27
111	Inbound	7/5/2012	25
111	Inbound	7/6/2012	25
111	Inbound	7/7/2012	27
111	Inbound	7/8/2012	24
111	Inbound	7/9/2012	24
111	Inbound	7/10/2012	25
111	Inbound	7/11/2012	24
111	Inbound	7/12/2012	26
111	Inbound	7/13/2012	25
111	Inbound	7/14/2012	26
111	Inbound	7/15/2012	25
111	Inbound	7/16/2012	25
111	Inbound	7/17/2012	25
111	Inbound	7/18/2012	26
111	Inbound	7/19/2012	26
111	Inbound	7/20/2012	24
111	Inbound	7/21/2012	26
111	Inbound	7/22/2012	25
111	Inbound	7/23/2012	25
111	Inbound	7/24/2012	25
111	Inbound	7/25/2012	26
111	Inbound	7/26/2012	25
111	Inbound	7/27/2012	26
111	Inbound	7/28/2012	28
111	Inbound	7/29/2012	26
111	Inbound	7/30/2012	25
111	Inbound	7/31/2012	25
111	Inbound	8/1/2012	27
111	Inbound	8/2/2012	26
111	Inbound	8/3/2012	24
111	Inbound	8/4/2012	27
111	Inbound	8/5/2012	26
111	Inbound	8/6/2012	26
111	Inbound	8/7/2012	25
111	Inbound	8/8/2012	26
111	Inbound	8/9/2012	27
111	Inbound	8/10/2012	23
111	Inbound	8/11/2012	27
111	Inbound	8/12/2012	26
111	Inbound	8/13/2012	25
111	Inbound	8/14/2012	25
111	Inbound	8/15/2012	24
111	Inbound	8/16/2012	23
111	Inbound	8/17/2012	24
111	Inbound	8/18/2012	27
111	Inbound	8/19/2012	24
111	Inbound	8/20/2012	24
111	Inbound	8/21/2012	24
111	Inbound	8/22/2012	25
111	Inbound	8/23/2012	26
111	Inbound	8/24/2012	26
111	Inbound	8/25/2012	26
111	Inbound	8/26/2012	25
111	Inbound	8/27/2012	25
111	Inbound	8/28/2012	26
111	Inbound	8/29/2012	26
111	Inbound	8/30/2012	26
111	Inbound	8/31/2012	25
111	Inbound	9/1/2012	27
111	Inbound	9/2/2012	26
111	Inbound	9/3/2012	25
111	Inbound	9/4/2012	26
111	Inbound	9/5/2012	26
111	Inbound	9/6/2012	26
111	Inbound	9/7/2012	26
111	Inbound	9/8/2012	28
111	Inbound	9/9/2012	25
111	Inbound	9/10/2012	26
111	Inbound	9/11/2012	25
111	Inbound	9/12/2012	26
111	Inbound	9/13/2012	26
111	Inbound	9/14/2012	26
111	Inbound	9/15/2012	27
111	Inbound	9/16/2012	25
111	Inbound	9/17/2012	27
111	Inbound	9/18/2012	25
111	Inbound	9/19/2012	25
111	Inbound	9/20/2012	26
111	Inbound	9/21/2012	28
111	Inbound	9/22/2012	27
111	Inbound	9/23/2012	25
111	Inbound	9/24/2012	26
111	Inbound	9/25/2012	26
111	Inbound	9/26/2012	26
111	Inbound	9/27/2012	26
111	Inbound	9/28/2012	26
111	Inbound	9/29/2012	28
111	Inbound	9/30/2012	25
111	Inbound	10/1/2012	27
111	Inbound	10/2/2012	28
111	Inbound	10/3/2012	26
111	Inbound	10/4/2012	26
111	Inbound	10/5/2012	26
111	Inbound	10/6/2012	27
111	Inbound	10/7/2012	25
111	Inbound	10/8/2012	25
111	Inbound	10/9/2012	27
111	Inbound	10/10/2012	27
111	Inbound	10/11/2012	26
111	Inbound	10/12/2012	25
111	Inbound	10/13/2012	28
111	Inbound	10/14/2012	25
111	Inbound	10/15/2012	26
111	Inbound	10/16/2012	27
111	Inbound	10/17/2012	26
111	Inbound	10/18/2012	27
111	Inbound	10/19/2012	27
111	Inbound	10/20/2012	28
111	Inbound	10/21/2012	25
111	Inbound	10/22/2012	26
111	Inbound	10/23/2012	26
111	Inbound	10/24/2012	26
111	Inbound	10/25/2012	28
111	Inbound	10/26/2012	25
111	Inbound	10/27/2012	28
111	Inbound	10/28/2012	25
111	Inbound	10/29/2012	26
111	Inbound	10/30/2012	26
111	Inbound	10/31/2012	26
111	Inbound	11/1/2012	27
111	Inbound	11/2/2012	28
111	Inbound	11/3/2012	28
111	Inbound	11/4/2012	25
