date	close
7/1/2012	30
7/2/2012	32
7/3/2012	31
7/4/2012	30
7/5/2012	31
7/6/2012	33
7/7/2012	31
7/8/2012	28
7/9/2012	32
7/10/2012	33
7/11/2012	31
7/12/2012	31
7/13/2012	32
7/14/2012	34
7/15/2012	29
7/16/2012	31
7/17/2012	31
7/18/2012	31
7/19/2012	30
7/20/2012	32
7/21/2012	32
7/22/2012	28
7/23/2012	33
7/24/2012	32
7/25/2012	31
7/26/2012	30
7/27/2012	32
7/28/2012	34
7/29/2012	30
7/30/2012	32
7/31/2012	33
8/1/2012	32
8/2/2012	32
8/3/2012	32
8/4/2012	32
8/5/2012	29
8/6/2012	32
8/7/2012	32
8/8/2012	31
8/9/2012	32
8/10/2012	32
8/11/2012	32
8/12/2012	29
8/13/2012	32
8/14/2012	32
8/15/2012	32
8/16/2012	31
8/17/2012	33
8/18/2012	32
8/19/2012	28
8/20/2012	31
8/21/2012	32
8/22/2012	31
8/23/2012	32
8/24/2012	33
8/25/2012	32
8/26/2012	30
8/27/2012	31
8/28/2012	31
8/29/2012	31
8/30/2012	32
8/31/2012	33
9/1/2012	32
9/2/2012	27
9/3/2012	30
9/4/2012	32
9/5/2012	31
9/6/2012	31
9/7/2012	30
9/8/2012	33
9/9/2012	30
9/10/2012	31
9/11/2012	32
9/12/2012	32
9/13/2012	32
9/14/2012	31
9/15/2012	33
9/16/2012	30
9/17/2012	32
9/18/2012	31
9/19/2012	31
9/20/2012	30
9/21/2012	30
9/22/2012	33
9/23/2012	31
9/24/2012	32
9/25/2012	32
9/26/2012	33
9/27/2012	30
9/28/2012	33
9/29/2012	31
9/30/2012	29
10/1/2012	30
10/2/2012	32
10/3/2012	32
10/4/2012	31
10/5/2012	33
10/6/2012	32
10/7/2012	29
10/8/2012	33
10/9/2012	31
10/10/2012	32
10/11/2012	32
10/12/2012	32
10/13/2012	32
10/14/2012	30
10/15/2012	31
10/16/2012	31
10/17/2012	31
10/18/2012	31
10/19/2012	33
10/20/2012	33
10/21/2012	28
10/22/2012	32
10/23/2012	32
10/24/2012	33
10/25/2012	32
10/26/2012	32
10/27/2012	34
10/28/2012	30
10/29/2012	28
