date	close
7/1/2012	33
7/2/2012	43
7/3/2012	42
7/4/2012	34
7/5/2012	44
7/6/2012	43
7/7/2012	39
7/8/2012	33
7/9/2012	43
7/10/2012	43
7/11/2012	43
7/12/2012	42
7/13/2012	42
7/14/2012	35
7/15/2012	34
7/16/2012	43
7/17/2012	45
7/18/2012	45
7/19/2012	43
7/20/2012	43
7/21/2012	41
7/22/2012	35
7/23/2012	43
7/24/2012	44
7/25/2012	44
7/26/2012	44
7/27/2012	43
7/28/2012	39
7/29/2012	31
7/30/2012	44
7/31/2012	44
8/1/2012	43
8/2/2012	44
8/3/2012	43
8/4/2012	40
8/5/2012	34
8/6/2012	44
8/7/2012	44
8/8/2012	44
8/9/2012	43
8/10/2012	44
8/11/2012	40
8/12/2012	34
8/13/2012	44
8/14/2012	45
8/15/2012	43
8/16/2012	42
8/17/2012	44
8/18/2012	41
8/19/2012	35
8/20/2012	43
8/21/2012	44
8/22/2012	44
8/23/2012	43
8/24/2012	43
8/25/2012	28
8/26/2012	33
8/27/2012	44
8/28/2012	44
8/29/2012	44
8/30/2012	44
8/31/2012	43
9/1/2012	41
9/2/2012	34
9/3/2012	34
9/4/2012	43
9/5/2012	45
9/6/2012	45
9/7/2012	41
9/8/2012	40
9/9/2012	33
9/10/2012	45
9/11/2012	45
9/12/2012	46
9/13/2012	45
9/14/2012	45
9/15/2012	39
9/16/2012	33
9/17/2012	45
9/18/2012	46
9/19/2012	45
9/20/2012	46
9/21/2012	45
9/22/2012	40
9/23/2012	32
9/24/2012	44
9/25/2012	44
9/26/2012	44
9/27/2012	45
9/28/2012	45
9/29/2012	40
9/30/2012	34
10/1/2012	44
10/2/2012	45
10/3/2012	52
10/4/2012	44
10/5/2012	45
10/6/2012	40
10/7/2012	34
10/8/2012	39
10/9/2012	45
10/10/2012	45
10/11/2012	45
10/12/2012	44
10/13/2012	40
10/14/2012	34
10/15/2012	45
10/16/2012	46
10/17/2012	45
10/18/2012	45
10/19/2012	44
10/20/2012	39
10/21/2012	35
10/22/2012	45
10/23/2012	46
10/24/2012	44
10/25/2012	44
10/26/2012	45
10/27/2012	39
10/28/2012	33
