		date	close
73	Outbound	7/1/2012	20
73	Outbound	7/2/2012	24
73	Outbound	7/3/2012	24
73	Outbound	7/4/2012	20
73	Outbound	7/5/2012	24
73	Outbound	7/6/2012	24
73	Outbound	7/7/2012	21
73	Outbound	7/8/2012	20
73	Outbound	7/9/2012	26
73	Outbound	7/10/2012	25
73	Outbound	7/11/2012	25
73	Outbound	7/12/2012	26
73	Outbound	7/13/2012	25
73	Outbound	7/14/2012	20
73	Outbound	7/15/2012	20
73	Outbound	7/16/2012	25
73	Outbound	7/17/2012	25
73	Outbound	7/18/2012	26
73	Outbound	7/19/2012	25
73	Outbound	7/20/2012	26
73	Outbound	7/21/2012	21
73	Outbound	7/22/2012	20
73	Outbound	7/23/2012	26
73	Outbound	7/24/2012	25
73	Outbound	7/25/2012	25
73	Outbound	7/26/2012	25
73	Outbound	7/27/2012	25
73	Outbound	7/28/2012	21
73	Outbound	7/29/2012	22
73	Outbound	7/30/2012	26
73	Outbound	7/31/2012	26
73	Outbound	8/1/2012	25
73	Outbound	8/2/2012	25
73	Outbound	8/3/2012	25
73	Outbound	8/4/2012	21
73	Outbound	8/5/2012	21
73	Outbound	8/6/2012	25
73	Outbound	8/7/2012	25
73	Outbound	8/8/2012	26
73	Outbound	8/9/2012	25
73	Outbound	8/10/2012	25
73	Outbound	8/11/2012	20
73	Outbound	8/12/2012	21
73	Outbound	8/13/2012	25
73	Outbound	8/14/2012	25
73	Outbound	8/15/2012	25
73	Outbound	8/16/2012	25
73	Outbound	8/17/2012	25
73	Outbound	8/18/2012	20
73	Outbound	8/19/2012	20
73	Outbound	8/20/2012	25
73	Outbound	8/21/2012	25
73	Outbound	8/22/2012	26
73	Outbound	8/23/2012	26
73	Outbound	8/24/2012	25
73	Outbound	8/25/2012	20
73	Outbound	8/26/2012	21
73	Outbound	8/27/2012	25
73	Outbound	8/28/2012	25
73	Outbound	8/29/2012	26
73	Outbound	8/30/2012	25
73	Outbound	8/31/2012	25
73	Outbound	9/1/2012	22
73	Outbound	9/2/2012	22
73	Outbound	9/3/2012	23
73	Outbound	9/4/2012	26
73	Outbound	9/5/2012	25
73	Outbound	9/6/2012	25
73	Outbound	9/7/2012	25
73	Outbound	9/8/2012	23
73	Outbound	9/9/2012	23
73	Outbound	9/10/2012	26
73	Outbound	9/11/2012	25
73	Outbound	9/12/2012	25
73	Outbound	9/13/2012	25
73	Outbound	9/14/2012	25
73	Outbound	9/15/2012	23
73	Outbound	9/16/2012	21
73	Outbound	9/17/2012	26
73	Outbound	9/18/2012	26
73	Outbound	9/19/2012	25
73	Outbound	9/20/2012	25
73	Outbound	9/21/2012	25
73	Outbound	9/22/2012	23
73	Outbound	9/23/2012	22
73	Outbound	9/24/2012	26
73	Outbound	9/25/2012	25
73	Outbound	9/26/2012	26
73	Outbound	9/27/2012	26
73	Outbound	9/28/2012	26
73	Outbound	9/29/2012	23
73	Outbound	9/30/2012	21
73	Outbound	10/1/2012	25
73	Outbound	10/2/2012	25
73	Outbound	10/3/2012	26
73	Outbound	10/4/2012	25
73	Outbound	10/5/2012	25
73	Outbound	10/6/2012	22
73	Outbound	10/7/2012	22
73	Outbound	10/8/2012	23
73	Outbound	10/9/2012	25
73	Outbound	10/10/2012	25
73	Outbound	10/11/2012	25
73	Outbound	10/12/2012	25
73	Outbound	10/13/2012	22
73	Outbound	10/14/2012	21
73	Outbound	10/15/2012	24
73	Outbound	10/16/2012	25
73	Outbound	10/17/2012	25
73	Outbound	10/18/2012	24
73	Outbound	10/19/2012	25
73	Outbound	10/20/2012	22
73	Outbound	10/21/2012	23
73	Outbound	10/22/2012	25
73	Outbound	10/23/2012	25
73	Outbound	10/24/2012	25
73	Outbound	10/25/2012	25
73	Outbound	10/26/2012	25
73	Outbound	10/27/2012	21
73	Outbound	10/28/2012	21
73	Outbound	10/29/2012	23
73	Outbound	10/30/2012	25
73	Outbound	10/31/2012	26
73	Outbound	11/1/2012	25
73	Outbound	11/2/2012	25
73	Outbound	11/3/2012	22
73	Outbound	11/4/2012	18
73	Outbound	11/5/2012	24
73	Outbound	11/6/2012	25
73	Outbound	11/7/2012	25
73	Outbound	11/8/2012	25
73	Outbound	11/9/2012	24
73	Outbound	11/10/2012	22
73	Outbound	11/11/2012	19
73	Outbound	11/12/2012	24
73	Outbound	11/13/2012	24
73	Outbound	11/14/2012	25
73	Outbound	11/15/2012	25
73	Outbound	11/16/2012	25
73	Outbound	11/17/2012	23
73	Outbound	11/18/2012	19
73	Outbound	11/19/2012	25
73	Outbound	11/20/2012	27
73	Outbound	11/21/2012	26
73	Outbound	11/22/2012	16
73	Outbound	11/23/2012	24
73	Outbound	11/24/2012	22
73	Outbound	11/25/2012	18
73	Outbound	11/26/2012	25
