Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
1,3/1/2014,200,28,Inbound,4225233,4225234,Mattapan Station - South Busway,32,39,-7
1,3/1/2014,202,28,Inbound,4225233,4225234,Blue Hill Ave @ Fessenden St,32,39,-7
1,3/1/2014,203,28,Inbound,4225233,4225234,Blue Hill Ave @ Morton St,32,39,-7
1,3/1/2014,206,28,Inbound,4225233,4225234,Blue Hill Ave @ Talbot Ave,34,39,-5
1,3/1/2014,207,28,Inbound,4225233,4225234,Blue Hill Ave @ Ellington St - Franklin Park Zoo,35,39,-4
1,3/1/2014,209,28,Inbound,4225233,4225234,Warren St @ Sunderland St,35,39,-4
1,3/1/2014,210,28,Inbound,4225233,4225234,Warren St @ Quincy St,35,39,-4
1,3/1/2014,212,28,Inbound,4225233,4225234,Warren St @ Moreland St,36,39,-3
1,3/1/2014,213,28,Inbound,4225233,4225234,Dudley Station,36,39,-3
2,3/1/2014,239,28,Inbound,4225234,4225235,Mattapan Station - South Busway,37,46,-9
2,3/1/2014,241,28,Inbound,4225234,4225235,Blue Hill Ave @ Fessenden St,42,46,-4
2,3/1/2014,242,28,Inbound,4225234,4225235,Blue Hill Ave @ Morton St,42,46,-4
2,3/1/2014,245,28,Inbound,4225234,4225235,Blue Hill Ave @ Talbot Ave,40,47,-7
2,3/1/2014,246,28,Inbound,4225234,4225235,Blue Hill Ave @ Ellington St - Franklin Park Zoo,42,48,-6
2,3/1/2014,248,28,Inbound,4225234,4225235,Warren St @ Sunderland St,42,49,-7
2,3/1/2014,249,28,Inbound,4225234,4225235,Warren St @ Quincy St,42,50,-8
2,3/1/2014,251,28,Inbound,4225234,4225235,Warren St @ Moreland St,42,51,-9
2,3/1/2014,252,28,Inbound,4225234,4225235,Dudley Station,72,51,21
3,3/1/2014,285,28,Inbound,4225235,4199437,Mattapan Station - South Busway,29,27,2
3,3/1/2014,287,28,Inbound,4225235,4199437,Blue Hill Ave @ Fessenden St,30,27,3
3,3/1/2014,288,28,Inbound,4225235,4199437,Blue Hill Ave @ Morton St,30,27,3
