Headway: {HeadwayId: long,ServiceDate: chararray,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
1,3/1/2014,285,32,Outbound,4209858,4209860,Forest Hills Station Lower Busway,41,40,1
1,3/1/2014,287,32,Outbound,4209858,4209860,Hyde Park Ave @ Cummins Hwy,40,40,0
1,3/1/2014,288,32,Outbound,4209858,4209860,807 Hyde Park Ave opp American Legion Hwy,41,40,1
1,3/1/2014,289,32,Outbound,4209858,4209860,Hyde Park Ave @ Greenwood Ave,41,40,1
1,3/1/2014,291,32,Outbound,4209858,4209860,Hyde Park Ave @ Grant Place,41,39,2
1,3/1/2014,295,32,Outbound,4209858,4209860,Hyde Park Ave @ Wolcott Square,41,40,1
2,3/1/2014,325,32,Outbound,4209860,4211105,Forest Hills Station Lower Busway,38,37,1
2,3/1/2014,327,32,Outbound,4209860,4211105,Hyde Park Ave @ Cummins Hwy,38,38,0
2,3/1/2014,328,32,Outbound,4209860,4211105,807 Hyde Park Ave opp American Legion Hwy,37,38,-1
2,3/1/2014,329,32,Outbound,4209860,4211105,Hyde Park Ave @ Greenwood Ave,37,39,-2
2,3/1/2014,330,32,Outbound,4209860,4211105,Hyde Park Ave @ Grant Place,38,39,-1
2,3/1/2014,335,32,Outbound,4209860,4211105,Hyde Park Ave @ Wolcott Square,39,39,0
3,3/1/2014,362,32,Outbound,4211105,4211127,Forest Hills Station Lower Busway,66,18,48
3,3/1/2014,365,32,Outbound,4211105,4211127,Hyde Park Ave @ Cummins Hwy,19,19,0
3,3/1/2014,366,32,Outbound,4211105,4211127,807 Hyde Park Ave opp American Legion Hwy,19,19,0
3,3/1/2014,368,32,Outbound,4211105,4211127,Hyde Park Ave @ Greenwood Ave,19,18,1
3,3/1/2014,369,32,Outbound,4211105,4211127,Hyde Park Ave @ Grant Place,18,18,0
4,3/1/2014,380,32,Outbound,4211127,4211107,Forest Hills Station Lower Busway,-21,25,-46
4,3/1/2014,384,32,Outbound,4211127,4211107,Hyde Park Ave @ Cummins Hwy,27,24,3
4,3/1/2014,385,32,Outbound,4211127,4211107,807 Hyde Park Ave opp American Legion Hwy,28,24,4
4,3/1/2014,386,32,Outbound,4211127,4211107,Hyde Park Ave @ Greenwood Ave,28,25,3
4,3/1/2014,387,32,Outbound,4211127,4211107,Hyde Park Ave @ Grant Place,30,25,5
5,3/1/2014,408,32,Outbound,4211107,4211129,Hyde Park Ave @ Cummins Hwy,17,21,-4
5,3/1/2014,409,32,Outbound,4211107,4211129,807 Hyde Park Ave opp American Legion Hwy,17,21,-4
5,3/1/2014,411,32,Outbound,4211107,4211129,Hyde Park Ave @ Greenwood Ave,18,21,-3
5,3/1/2014,412,32,Outbound,4211107,4211129,Hyde Park Ave @ Grant Place,16,22,-6
5,3/1/2014,417,32,Outbound,4211107,4211129,Hyde Park Ave @ Wolcott Square,18,23,-5
6,3/1/2014,429,32,Outbound,4211129,4208189,Hyde Park Ave @ Cummins Hwy,14,15,-1
6,3/1/2014,430,32,Outbound,4211129,4208189,807 Hyde Park Ave opp American Legion Hwy,14,15,-1
6,3/1/2014,432,32,Outbound,4211129,4208189,Hyde Park Ave @ Greenwood Ave,14,15,-1
6,3/1/2014,434,32,Outbound,4211129,4208189,Hyde Park Ave @ Grant Place,15,15,0
6,3/1/2014,440,32,Outbound,4211129,4208189,Hyde Park Ave @ Wolcott Square,13,15,-2
7,3/1/2014,440,32,Outbound,4208189,4211109,Forest Hills Station Lower Busway,14,15,-1
7,3/1/2014,444,32,Outbound,4208189,4211109,Hyde Park Ave @ Cummins Hwy,15,15,0
7,3/1/2014,445,32,Outbound,4208189,4211109,807 Hyde Park Ave opp American Legion Hwy,15,15,0
7,3/1/2014,447,32,Outbound,4208189,4211109,Hyde Park Ave @ Greenwood Ave,15,15,0
7,3/1/2014,449,32,Outbound,4208189,4211109,Hyde Park Ave @ Grant Place,15,15,0
7,3/1/2014,455,32,Outbound,4208189,4211109,Hyde Park Ave @ Wolcott Square,15,15,0
8,3/1/2014,455,32,Outbound,4211109,4211131,Forest Hills Station Lower Busway,19,13,6
8,3/1/2014,459,32,Outbound,4211109,4211131,Hyde Park Ave @ Cummins Hwy,14,13,1
8,3/1/2014,460,32,Outbound,4211109,4211131,807 Hyde Park Ave opp American Legion Hwy,13,13,0
8,3/1/2014,462,32,Outbound,4211109,4211131,Hyde Park Ave @ Greenwood Ave,14,13,1
8,3/1/2014,464,32,Outbound,4211109,4211131,Hyde Park Ave @ Grant Place,14,13,1
8,3/1/2014,470,32,Outbound,4211109,4211131,Hyde Park Ave @ Wolcott Square,13,13,0
9,3/1/2014,468,32,Outbound,4211131,4208569,Forest Hills Station Lower Busway,17,12,5
9,3/1/2014,472,32,Outbound,4211131,4208569,Hyde Park Ave @ Cummins Hwy,15,12,3
9,3/1/2014,473,32,Outbound,4211131,4208569,807 Hyde Park Ave opp American Legion Hwy,16,13,3
9,3/1/2014,475,32,Outbound,4211131,4208569,Hyde Park Ave @ Greenwood Ave,15,13,2
9,3/1/2014,477,32,Outbound,4211131,4208569,Hyde Park Ave @ Grant Place,16,13,3
9,3/1/2014,483,32,Outbound,4211131,4208569,Hyde Park Ave @ Wolcott Square,17,13,4
10,3/1/2014,480,32,Outbound,4208569,4211161,Forest Hills Station Lower Busway,8,12,-4
10,3/1/2014,484,32,Outbound,4208569,4211161,Hyde Park Ave @ Cummins Hwy,9,12,-3
10,3/1/2014,486,32,Outbound,4208569,4211161,807 Hyde Park Ave opp American Legion Hwy,9,12,-3
10,3/1/2014,488,32,Outbound,4208569,4211161,Hyde Park Ave @ Greenwood Ave,9,12,-3
10,3/1/2014,490,32,Outbound,4208569,4211161,Hyde Park Ave @ Grant Place,8,12,-4
10,3/1/2014,496,32,Outbound,4208569,4211161,Hyde Park Ave @ Wolcott Square,8,12,-4
11,3/1/2014,492,32,Outbound,4211161,4211111,Forest Hills Station Lower Busway,10,12,-2
11,3/1/2014,496,32,Outbound,4211161,4211111,Hyde Park Ave @ Cummins Hwy,11,12,-1
11,3/1/2014,498,32,Outbound,4211161,4211111,807 Hyde Park Ave opp American Legion Hwy,10,12,-2
11,3/1/2014,500,32,Outbound,4211161,4211111,Hyde Park Ave @ Greenwood Ave,11,12,-1
11,3/1/2014,502,32,Outbound,4211161,4211111,Hyde Park Ave @ Grant Place,11,12,-1
11,3/1/2014,508,32,Outbound,4211161,4211111,Hyde Park Ave @ Wolcott Square,11,12,-1
12,3/1/2014,504,32,Outbound,4211111,4211179,Forest Hills Station Lower Busway,15,12,3
12,3/1/2014,508,32,Outbound,4211111,4211179,Hyde Park Ave @ Cummins Hwy,13,12,1
12,3/1/2014,510,32,Outbound,4211111,4211179,807 Hyde Park Ave opp American Legion Hwy,13,12,1
12,3/1/2014,512,32,Outbound,4211111,4211179,Hyde Park Ave @ Greenwood Ave,12,12,0
12,3/1/2014,514,32,Outbound,4211111,4211179,Hyde Park Ave @ Grant Place,13,12,1
12,3/1/2014,520,32,Outbound,4211111,4211179,Hyde Park Ave @ Wolcott Square,12,12,0
13,3/1/2014,516,32,Outbound,4211179,4211229,Forest Hills Station Lower Busway,13,12,1
13,3/1/2014,520,32,Outbound,4211179,4211229,Hyde Park Ave @ Cummins Hwy,12,12,0
13,3/1/2014,522,32,Outbound,4211179,4211229,807 Hyde Park Ave opp American Legion Hwy,14,12,2
13,3/1/2014,524,32,Outbound,4211179,4211229,Hyde Park Ave @ Greenwood Ave,14,12,2
13,3/1/2014,526,32,Outbound,4211179,4211229,Hyde Park Ave @ Grant Place,14,12,2
13,3/1/2014,532,32,Outbound,4211179,4211229,Hyde Park Ave @ Wolcott Square,14,12,2
14,3/1/2014,528,32,Outbound,4211229,4211163,Forest Hills Station Lower Busway,12,12,0
14,3/1/2014,532,32,Outbound,4211229,4211163,Hyde Park Ave @ Cummins Hwy,16,12,4
14,3/1/2014,534,32,Outbound,4211229,4211163,807 Hyde Park Ave opp American Legion Hwy,15,12,3
14,3/1/2014,536,32,Outbound,4211229,4211163,Hyde Park Ave @ Greenwood Ave,15,12,3
14,3/1/2014,538,32,Outbound,4211229,4211163,Hyde Park Ave @ Grant Place,14,12,2
