Headway: {HeadwayId: long,ServiceDate,StartTimeInMin,RouteName: chararray,RouteDirectionName: chararray,Trip_1: int,Trip_2: int,StopName: bytearray,ActHeadway,ScheduledHeadway,HeadwayDifference
1,3/1/2014,305,57,Inbound,4236158,4236285,Watertown Yard,9,15,-6
1,3/1/2014,306,57,Inbound,4236158,4236285,Washington St @ Bacon St,14,15,-1
1,3/1/2014,309,57,Inbound,4236158,4236285,Tremont St @ Washington St,14,15,-1
1,3/1/2014,311,57,Inbound,4236158,4236285,Washington St @ Chestnut Hill Ave,13,15,-2
1,3/1/2014,313,57,Inbound,4236158,4236285,Brighton Ave @ Cambridge St,12,15,-3
1,3/1/2014,316,57,Inbound,4236158,4236285,Brighton Ave @ Comm Ave,12,15,-3
1,3/1/2014,319,57,Inbound,4236158,4236285,Commonwealth Ave @ Carlton St,10,15,-5
1,3/1/2014,322,57,Inbound,4236158,4236285,Kenmore Station Busway,10,15,-5
2,3/1/2014,320,57,Inbound,4236285,4236331,Watertown Yard,15,15,0
2,3/1/2014,321,57,Inbound,4236285,4236331,Washington St @ Bacon St,16,15,1
2,3/1/2014,324,57,Inbound,4236285,4236331,Tremont St @ Washington St,16,15,1
2,3/1/2014,326,57,Inbound,4236285,4236331,Washington St @ Chestnut Hill Ave,15,15,0
2,3/1/2014,328,57,Inbound,4236285,4236331,Brighton Ave @ Cambridge St,15,15,0
2,3/1/2014,331,57,Inbound,4236285,4236331,Brighton Ave @ Comm Ave,15,15,0
2,3/1/2014,334,57,Inbound,4236285,4236331,Commonwealth Ave @ Carlton St,17,15,2
2,3/1/2014,337,57,Inbound,4236285,4236331,Kenmore Station Busway,18,15,3
3,3/1/2014,335,57,Inbound,4236331,4236034,Watertown Yard,15,15,0
3,3/1/2014,336,57,Inbound,4236331,4236034,Washington St @ Bacon St,16,15,1
3,3/1/2014,339,57,Inbound,4236331,4236034,Tremont St @ Washington St,16,15,1
3,3/1/2014,341,57,Inbound,4236331,4236034,Washington St @ Chestnut Hill Ave,17,15,2
3,3/1/2014,343,57,Inbound,4236331,4236034,Brighton Ave @ Cambridge St,19,15,4
3,3/1/2014,346,57,Inbound,4236331,4236034,Brighton Ave @ Comm Ave,18,16,2
3,3/1/2014,349,57,Inbound,4236331,4236034,Commonwealth Ave @ Carlton St,17,17,0
3,3/1/2014,352,57,Inbound,4236331,4236034,Kenmore Station Busway,18,16,2
4,3/1/2014,350,57,Inbound,4236034,4236160,Watertown Yard,21,13,8
4,3/1/2014,351,57,Inbound,4236034,4236160,Washington St @ Bacon St,13,13,0
4,3/1/2014,354,57,Inbound,4236034,4236160,Tremont St @ Washington St,14,13,1
4,3/1/2014,356,57,Inbound,4236034,4236160,Washington St @ Chestnut Hill Ave,16,14,2
4,3/1/2014,358,57,Inbound,4236034,4236160,Brighton Ave @ Cambridge St,17,16,1
4,3/1/2014,362,57,Inbound,4236034,4236160,Brighton Ave @ Comm Ave,19,16,3
4,3/1/2014,366,57,Inbound,4236034,4236160,Commonwealth Ave @ Carlton St,19,16,3
4,3/1/2014,368,57,Inbound,4236034,4236160,Kenmore Station Busway,19,16,3
5,3/1/2014,363,57,Inbound,4236160,4236287,Watertown Yard,26,12,14
5,3/1/2014,364,57,Inbound,4236160,4236287,Washington St @ Bacon St,13,12,1
5,3/1/2014,367,57,Inbound,4236160,4236287,Tremont St @ Washington St,12,12,0
5,3/1/2014,370,57,Inbound,4236160,4236287,Washington St @ Chestnut Hill Ave,12,12,0
5,3/1/2014,374,57,Inbound,4236160,4236287,Brighton Ave @ Cambridge St,11,12,-1
5,3/1/2014,378,57,Inbound,4236160,4236287,Brighton Ave @ Comm Ave,12,12,0
5,3/1/2014,382,57,Inbound,4236160,4236287,Commonwealth Ave @ Carlton St,12,12,0
5,3/1/2014,384,57,Inbound,4236160,4236287,Kenmore Station Busway,12,12,0
6,3/1/2014,375,57,Inbound,4236287,4236333,Watertown Yard,1,10,-9
6,3/1/2014,376,57,Inbound,4236287,4236333,Washington St @ Bacon St,8,10,-2
6,3/1/2014,379,57,Inbound,4236287,4236333,Tremont St @ Washington St,8,10,-2
6,3/1/2014,382,57,Inbound,4236287,4236333,Washington St @ Chestnut Hill Ave,7,10,-3
6,3/1/2014,386,57,Inbound,4236287,4236333,Brighton Ave @ Cambridge St,7,10,-3
6,3/1/2014,390,57,Inbound,4236287,4236333,Brighton Ave @ Comm Ave,5,10,-5
6,3/1/2014,394,57,Inbound,4236287,4236333,Commonwealth Ave @ Carlton St,5,10,-5
6,3/1/2014,396,57,Inbound,4236287,4236333,Kenmore Station Busway,3,10,-7
7,3/1/2014,385,57,Inbound,4236333,4236036,Watertown Yard,17,10,7
7,3/1/2014,386,57,Inbound,4236333,4236036,Washington St @ Bacon St,13,10,3
7,3/1/2014,389,57,Inbound,4236333,4236036,Tremont St @ Washington St,13,10,3
7,3/1/2014,392,57,Inbound,4236333,4236036,Washington St @ Chestnut Hill Ave,13,10,3
7,3/1/2014,396,57,Inbound,4236333,4236036,Brighton Ave @ Cambridge St,13,10,3
7,3/1/2014,400,57,Inbound,4236333,4236036,Brighton Ave @ Comm Ave,15,10,5
7,3/1/2014,404,57,Inbound,4236333,4236036,Commonwealth Ave @ Carlton St,13,10,3
7,3/1/2014,406,57,Inbound,4236333,4236036,Kenmore Station Busway,15,10,5
8,3/1/2014,395,57,Inbound,4236036,4236100,Watertown Yard,4,10,-6
8,3/1/2014,396,57,Inbound,4236036,4236100,Washington St @ Bacon St,6,10,-4
8,3/1/2014,399,57,Inbound,4236036,4236100,Tremont St @ Washington St,6,10,-4
8,3/1/2014,402,57,Inbound,4236036,4236100,Washington St @ Chestnut Hill Ave,6,10,-4
8,3/1/2014,406,57,Inbound,4236036,4236100,Brighton Ave @ Cambridge St,6,10,-4
8,3/1/2014,410,57,Inbound,4236036,4236100,Brighton Ave @ Comm Ave,5,10,-5
8,3/1/2014,414,57,Inbound,4236036,4236100,Commonwealth Ave @ Carlton St,9,10,-1
8,3/1/2014,416,57,Inbound,4236036,4236100,Kenmore Station Busway,8,10,-2
9,3/1/2014,405,57,Inbound,4236100,4236162,Watertown Yard,16,10,6
9,3/1/2014,406,57,Inbound,4236100,4236162,Washington St @ Bacon St,12,10,2
9,3/1/2014,409,57,Inbound,4236100,4236162,Tremont St @ Washington St,13,10,3
9,3/1/2014,412,57,Inbound,4236100,4236162,Washington St @ Chestnut Hill Ave,13,10,3
9,3/1/2014,416,57,Inbound,4236100,4236162,Brighton Ave @ Cambridge St,15,10,5
9,3/1/2014,420,57,Inbound,4236100,4236162,Brighton Ave @ Comm Ave,16,10,6
9,3/1/2014,424,57,Inbound,4236100,4236162,Commonwealth Ave @ Carlton St,16,10,6
9,3/1/2014,426,57,Inbound,4236100,4236162,Kenmore Station Busway,17,10,7
10,3/1/2014,415,57,Inbound,4236162,4236259,Watertown Yard,11,10,1
10,3/1/2014,416,57,Inbound,4236162,4236259,Washington St @ Bacon St,11,10,1
10,3/1/2014,419,57,Inbound,4236162,4236259,Tremont St @ Washington St,12,10,2
10,3/1/2014,422,57,Inbound,4236162,4236259,Washington St @ Chestnut Hill Ave,12,10,2
10,3/1/2014,426,57,Inbound,4236162,4236259,Brighton Ave @ Cambridge St,11,10,1
10,3/1/2014,430,57,Inbound,4236162,4236259,Brighton Ave @ Comm Ave,10,10,0
10,3/1/2014,434,57,Inbound,4236162,4236259,Commonwealth Ave @ Carlton St,10,10,0
10,3/1/2014,436,57,Inbound,4236162,4236259,Kenmore Station Busway,10,10,0
11,3/1/2014,425,57,Inbound,4236259,4236289,Watertown Yard,-4,10,-14
11,3/1/2014,426,57,Inbound,4236259,4236289,Washington St @ Bacon St,8,10,-2
11,3/1/2014,429,57,Inbound,4236259,4236289,Tremont St @ Washington St,6,10,-4
11,3/1/2014,432,57,Inbound,4236259,4236289,Washington St @ Chestnut Hill Ave,7,10,-3
11,3/1/2014,436,57,Inbound,4236259,4236289,Brighton Ave @ Cambridge St,6,10,-4
11,3/1/2014,440,57,Inbound,4236259,4236289,Brighton Ave @ Comm Ave,6,10,-4
11,3/1/2014,444,57,Inbound,4236259,4236289,Commonwealth Ave @ Carlton St,5,10,-5
11,3/1/2014,446,57,Inbound,4236259,4236289,Kenmore Station Busway,5,10,-5
12,3/1/2014,435,57,Inbound,4236289,4236335,Watertown Yard,13,10,3
12,3/1/2014,436,57,Inbound,4236289,4236335,Washington St @ Bacon St,10,10,0
12,3/1/2014,439,57,Inbound,4236289,4236335,Tremont St @ Washington St,11,10,1
12,3/1/2014,442,57,Inbound,4236289,4236335,Washington St @ Chestnut Hill Ave,12,10,2
12,3/1/2014,446,57,Inbound,4236289,4236335,Brighton Ave @ Cambridge St,13,10,3
12,3/1/2014,450,57,Inbound,4236289,4236335,Brighton Ave @ Comm Ave,14,10,4
12,3/1/2014,454,57,Inbound,4236289,4236335,Commonwealth Ave @ Carlton St,15,10,5
12,3/1/2014,456,57,Inbound,4236289,4236335,Kenmore Station Busway,15,10,5
13,3/1/2014,445,57,Inbound,4236335,4236038,Watertown Yard,12,10,2
13,3/1/2014,446,57,Inbound,4236335,4236038,Washington St @ Bacon St,12,10,2
13,3/1/2014,449,57,Inbound,4236335,4236038,Tremont St @ Washington St,12,10,2
13,3/1/2014,452,57,Inbound,4236335,4236038,Washington St @ Chestnut Hill Ave,12,10,2
