stop_name,time,headway
Ruggles Station - Lane 1,285,-4
Malcolm X Blvd @ King St,287,-3
Dudley Station,289,-3
Warren St @ Dabney Pl,290,-4
Warren St @ Townsend St,292,-4
Warren St @ Crawford St,293,-3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,295,-4
Blue Hill Ave @ Angell St,297,-3
Blue Hill Ave @ Morton St,300,-4
Blue Hill Ave @ Wellington Hill St,301,-4
Mattapan Station - South Busway,305,-5
Ruggles Station - Lane 1,307,6
Malcolm X Blvd @ King St,309,1
Dudley Station,311,1
Warren St @ Dabney Pl,312,2
Warren St @ Townsend St,314,2
Warren St @ Crawford St,315,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,317,2
Blue Hill Ave @ Angell St,319,2
Blue Hill Ave @ Morton St,322,3
Blue Hill Ave @ Wellington Hill St,323,4
Mattapan Station - South Busway,327,3
Ruggles Station - Lane 1,342,2
Malcolm X Blvd @ King St,344,2
Dudley Station,346,2
Warren St @ Dabney Pl,347,1
Warren St @ Townsend St,349,1
Warren St @ Crawford St,350,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,352,0
Blue Hill Ave @ Angell St,354,-1
Blue Hill Ave @ Morton St,357,0
Blue Hill Ave @ Wellington Hill St,358,-1
Mattapan Station - South Busway,364,0
Ruggles Station - Lane 1,360,-12
Malcolm X Blvd @ King St,362,-1
Dudley Station,365,-2
Warren St @ Dabney Pl,367,-2
Warren St @ Townsend St,369,-1
Warren St @ Crawford St,371,-1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,374,-2
Blue Hill Ave @ Angell St,376,-2
Blue Hill Ave @ Morton St,379,-1
Blue Hill Ave @ Wellington Hill St,380,-1
Mattapan Station - South Busway,386,10
Ruggles Station - Lane 1,375,7
Malcolm X Blvd @ King St,377,-1
Dudley Station,380,0
Warren St @ Dabney Pl,382,1
Warren St @ Townsend St,384,0
Warren St @ Crawford St,386,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,389,2
Blue Hill Ave @ Angell St,391,2
Blue Hill Ave @ Morton St,394,0
Blue Hill Ave @ Wellington Hill St,395,0
Mattapan Station - South Busway,401,-10
Ruggles Station - Lane 1,390,3
Malcolm X Blvd @ King St,392,1
Dudley Station,395,1
Warren St @ Dabney Pl,397,-1
Warren St @ Townsend St,399,0
Warren St @ Crawford St,401,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,404,-2
Blue Hill Ave @ Angell St,406,-2
Blue Hill Ave @ Morton St,409,0
Blue Hill Ave @ Wellington Hill St,410,0
Mattapan Station - South Busway,416,1
Ruggles Station - Lane 1,405,5
Malcolm X Blvd @ King St,407,2
Dudley Station,410,1
Warren St @ Dabney Pl,412,2
Warren St @ Townsend St,414,2
Warren St @ Crawford St,416,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,419,3
Blue Hill Ave @ Angell St,421,5
Blue Hill Ave @ Morton St,424,5
Blue Hill Ave @ Wellington Hill St,425,5
Mattapan Station - South Busway,431,5
Ruggles Station - Lane 1,420,-2
Malcolm X Blvd @ King St,422,1
Dudley Station,425,2
Warren St @ Dabney Pl,427,2
Warren St @ Townsend St,429,2
Warren St @ Crawford St,431,2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,434,2
Blue Hill Ave @ Angell St,436,1
Blue Hill Ave @ Morton St,439,-2
Blue Hill Ave @ Wellington Hill St,440,-1
Mattapan Station - South Busway,446,-5
Ruggles Station - Lane 1,435,0
Malcolm X Blvd @ King St,437,-1
Dudley Station,440,-2
Warren St @ Dabney Pl,442,-2
Warren St @ Townsend St,444,-2
Warren St @ Crawford St,446,-3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,449,-2
Blue Hill Ave @ Angell St,452,-4
Blue Hill Ave @ Morton St,456,-3
Blue Hill Ave @ Wellington Hill St,457,-3
Mattapan Station - South Busway,465,0
Ruggles Station - Lane 1,445,-1
Malcolm X Blvd @ King St,447,-3
Dudley Station,450,-3
Warren St @ Dabney Pl,452,-3
Warren St @ Townsend St,455,-3
Warren St @ Crawford St,457,-2
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,461,-4
Blue Hill Ave @ Angell St,464,-4
Blue Hill Ave @ Morton St,468,-4
Blue Hill Ave @ Wellington Hill St,469,-5
Mattapan Station - South Busway,477,-8
Ruggles Station - Lane 1,455,-14
Malcolm X Blvd @ King St,458,-1
Dudley Station,462,-1
Warren St @ Dabney Pl,464,2
Warren St @ Townsend St,467,1
Warren St @ Crawford St,469,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,473,2
Blue Hill Ave @ Angell St,476,4
Blue Hill Ave @ Morton St,480,5
Blue Hill Ave @ Wellington Hill St,481,5
Mattapan Station - South Busway,489,6
Ruggles Station - Lane 1,465,14
Malcolm X Blvd @ King St,468,2
Dudley Station,472,1
Warren St @ Dabney Pl,474,-1
Warren St @ Townsend St,477,-1
Warren St @ Crawford St,479,-1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,483,-2
Blue Hill Ave @ Angell St,486,-1
Blue Hill Ave @ Morton St,490,-3
Blue Hill Ave @ Wellington Hill St,491,-3
Mattapan Station - South Busway,499,-2
Ruggles Station - Lane 1,475,-22
Malcolm X Blvd @ King St,478,-2
Dudley Station,482,0
Warren St @ Dabney Pl,484,-1
Warren St @ Townsend St,487,-1
Warren St @ Crawford St,489,-1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,493,1
Blue Hill Ave @ Angell St,496,0
Blue Hill Ave @ Morton St,500,1
Blue Hill Ave @ Wellington Hill St,501,2
Mattapan Station - South Busway,509,3
Ruggles Station - Lane 1,486,5
Malcolm X Blvd @ King St,489,-1
Dudley Station,493,-2
Warren St @ Dabney Pl,495,-2
Warren St @ Townsend St,498,0
Warren St @ Crawford St,500,0
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,504,-1
Blue Hill Ave @ Angell St,507,-2
Blue Hill Ave @ Morton St,511,-2
Blue Hill Ave @ Wellington Hill St,512,-2
Mattapan Station - South Busway,520,-3
Warren St @ Dabney Pl,506,4
Warren St @ Townsend St,509,1
Warren St @ Crawford St,511,1
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,515,1
Blue Hill Ave @ Angell St,518,2
Blue Hill Ave @ Morton St,522,3
Blue Hill Ave @ Wellington Hill St,523,2
Mattapan Station - South Busway,531,1
Warren St @ Dabney Pl,517,2
Warren St @ Townsend St,520,4
Warren St @ Crawford St,522,3
Blue Hill Ave opp Columbia Rd - Franklin Park Zoo,526,4
Blue Hill Ave @ Angell St,529,4
Blue Hill Ave @ Morton St,533,3
Blue Hill Ave @ Wellington Hill St,534,4
Mattapan Station - South Busway,542,5
Ruggles Station - Lane 1,519,8
